,year,avg_vote,genre_1,genre_2,genre_2
178,1919,7.0,Comedy,Drama,Romance
179,1919,6.5,Fantasy,Horror,Mystery
180,1919,6.6,Drama,Romance,
181,1919,6.7,Western,,
182,1919,6.9,Action,Comedy,Romance
183,1919,6.4,Drama,Crime,
184,1919,5.5,Comedy,,
185,1920,6.3,Fantasy,Sci-Fi,
186,1920,6.6,Biography,Drama,Romance
187,1920,6.4,Drama,Crime,
188,1921,6.7,Adventure,Fantasy,Mystery
189,1920,6.7,Drama,,
190,1920,7.0,Drama,Horror,Sci-Fi
191,1920,6.6,Comedy,Romance,
192,1920,6.2,Crime,Drama,Romance
193,1920,6.6,Comedy,,
194,1921,6.4,Drama,,
195,1920,6.0,Horror,,
196,1920,7.2,Fantasy,Horror,
197,1920,5.1,Biography,Comedy,Drama
198,1924,7.1,Drama,,
199,1920,6.9,Drama,,
200,1920,6.2,Drama,,
201,1920,6.2,Drama,,
202,1920,6.6,Comedy,Drama,Western
203,1920,6.0,Drama,,
204,1920,6.8,Drama,,
205,1920,6.7,Comedy,Romance,
206,1920,6.7,Action,Adventure,Drama
207,1920,4.9,Comedy,Romance,
208,1920,5.9,Drama,,
209,1920,7.1,Adventure,Romance,Western
210,1921,6.6,Drama,,
211,1920,6.5,Adventure,Comedy,Romance
212,1920,5.7,Drama,,
213,1920,6.4,Family,Comedy,Drama
214,1920,7.1,Comedy,Drama,Horror
215,1920,6.1,Drama,,
216,1920,6.5,Comedy,,
217,1920,5.7,Comedy,Western,
218,1920,6.1,Comedy,,
219,1920,6.0,Drama,,
220,1920,5.2,Drama,,
221,1920,6.4,Adventure,,
222,1920,6.3,Comedy,Drama,Romance
223,1920,6.1,Adventure,Drama,Romance
224,1920,5.5,Mystery,,
225,1920,6.5,Adventure,Drama,Western
226,1920,6.9,Drama,Thriller,
227,1920,6.1,Romance,,
228,1920,7.4,Drama,Romance,
229,1920,6.7,Comedy,Drama,
230,1920,6.3,Drama,Romance,
231,1921,6.8,Crime,Drama,Mystery
232,1921,6.0,Action,Adventure,
233,1921,6.6,Comedy,Drama,
234,1921,6.9,Comedy,,
235,1921,7.0,Comedy,Drama,Romance
236,1921,6.8,Drama,Romance,
237,1921,6.4,Adventure,Fantasy,Romance
238,1921,6.6,Drama,Romance,
239,1921,6.8,Drama,Romance,
240,1921,5.5,Comedy,Drama,Romance
241,1921,6.4,Comedy,Romance,
242,1921,7.0,Drama,,
243,1921,6.4,Comedy,,
244,1921,6.5,Drama,,
245,1921,7.2,Drama,Romance,War
246,1921,7.0,Drama,,
247,1921,6.8,Drama,,
248,1921,6.7,Adventure,Fantasy,
249,1921,6.6,Adventure,Fantasy,
250,1921,6.8,Drama,,
251,1921,8.3,Comedy,Drama,Family
252,1921,8.1,Drama,Fantasy,Horror
253,1924,6.1,Comedy,,
254,1921,6.7,Drama,,
255,1921,6.5,Drama,,
256,1921,7.0,Comedy,Drama,
257,1921,6.2,Comedy,Drama,
258,1921,7.7,Drama,Fantasy,Thriller
259,1921,6.5,Action,Comedy,Romance
260,1921,7.4,Drama,History,Romance
261,1920,6.5,Crime,Romance,Thriller
262,1921,6.7,Drama,,
263,1921,6.9,Comedy,,
264,1921,6.8,Drama,,
265,1921,6.4,Drama,,
266,1921,6.2,Crime,Drama,Horror
267,1921,6.4,Adventure,Drama,Romance
268,1921,5.8,Drama,,
269,1921,6.9,Drama,,
270,1921,6.9,Action,Adventure,Romance
271,1921,6.8,Comedy,Drama,
272,1921,6.8,Drama,,
273,1921,5.9,Drama,,
274,1921,6.2,Drama,,
275,1922,6.1,Drama,Romance,
276,1922,6.7,Drama,Romance,
277,1922,6.4,Drama,Romance,Sport
278,1922,6.9,Drama,,
279,1922,6.2,Romance,,
280,1922,7.1,Drama,,
281,1922,6.3,Drama,Family,Fantasy
282,1922,7.1,Comedy,Romance,
283,1922,6.1,Adventure,Drama,Romance
284,1922,6.5,Drama,,
285,1922,6.2,Drama,,
286,1922,7.0,Drama,Thriller,
287,1922,6.5,Drama,,
288,1922,7.0,Comedy,Family,
289,1922,4.9,Comedy,Drama,Horror
290,1922,6.7,Drama,Romance,
291,1922,5.4,Mystery,,
292,1922,6.2,Drama,,
293,1923,6.6,Drama,,
294,1922,6.7,Drama,Romance,
295,1922,6.4,Adventure,,
296,1922,6.9,Drama,History,
297,1922,7.9,Fantasy,Horror,
298,1922,6.7,Drama,,
299,1922,6.4,Drama,Romance,
300,1922,6.9,Drama,Romance,
301,1922,6.7,Adventure,Romance,
302,1922,7.2,Adventure,Family,Romance
303,1922,6.6,Biography,Drama,History
304,1922,6.6,Comedy,Romance,
305,1923,6.8,Drama,Fantasy,Horror
306,1922,5.9,Drama,Romance,
307,1922,6.3,Drama,,
308,1922,5.8,Drama,Mystery,
309,1922,5.8,Action,Drama,Romance
310,1922,6.0,Drama,,
311,1922,6.9,Drama,Romance,
312,1922,7.0,Action,Adventure,Comedy
313,1922,6.6,Drama,Family,Fantasy
314,1922,6.0,Drama,,
315,1922,5.8,Drama,Crime,
316,1922,6.6,Drama,History,
317,1922,6.3,Romance,Drama,
318,1922,6.3,Romance,Drama,
